id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,umr,satuan,tahun
1,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,671500,RUPIAH,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,850000,RUPIAH,2011
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,885000,RUPIAH,2012
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1201020,RUPIAH,2013
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1565922,RUPIAH,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1969000,RUPIAH,2015
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2195435,RUPIAH,2016
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2376558,RUPIAH,2017
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2583556,RUPIAH,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2791016,RUPIAH,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3028531,RUPIAH,2020
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3125444,RUPIAH,2021
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3125444,RUPIAH,2022
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3351883,RUPIAH,2023
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3384491,RUPIAH,2024
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3604483,RUPIAH,2025
